class_id	class_label	class_id_label	class_color
1	IT-ET Glut	01 IT-ET Glut	#FA0087
2	NP-CT-L6b Glut	02 NP-CT-L6b Glut	#61e2a4
3	OB-CR Glut	03 OB-CR Glut	#D00000
4	DG-IMN Glut	04 DG-IMN Glut	#16f2f2
5	OB-IMN GABA	05 OB-IMN GABA	#1b4332
6	CTX-CGE GABA	06 CTX-CGE GABA	#CCFF33
7	CTX-MGE GABA	07 CTX-MGE GABA	#f954ee
8	CNU-MGE GABA	08 CNU-MGE GABA	#70E000
9	CNU-LGE GABA	09 CNU-LGE GABA	#B199FF
10	LSX GABA	10 LSX GABA	#3283FE
11	CNU-HYa GABA	11 CNU-HYa GABA	#450099
12	HY GABA	12 HY GABA	#FF6600
13	CNU-HYa Glut	13 CNU-HYa Glut	#90E0EF
14	HY Glut	14 HY Glut	#AA0DFE
15	HY Gnrh1 Glut	15 HY Gnrh1 Glut	#F28266
16	HY MM Glut	16 HY MM Glut	#01d669
17	MH-LH Glut	17 MH-LH Glut	#FAA307
18	TH Glut	18 TH Glut	#0D47A1
19	MB Glut	19 MB Glut	#007200
20	MB GABA	20 MB GABA	#9EF01A
21	MB Dopa	21 MB Dopa	#38B000
22	MB-HB Sero	22 MB-HB Sero	#EC4067
23	P Glut	23 P Glut	#6b5ca5
24	MY Glut	24 MY Glut	#F0A0FF
25	Pineal Glut	25 Pineal Glut	#086375
26	P GABA	26 P GABA	#72195a
27	MY GABA	27 MY GABA	#0096C7
28	CB GABA	28 CB GABA	#FFFB46
29	CB Glut	29 CB Glut	#9D0208
30	Astro-Epen	30 Astro-Epen	#594a26
31	OPC-Oligo	31 OPC-Oligo	#03045E
32	OEC	32 OEC	#996B2E
33	Vascular	33 Vascular	#858881
34	Immune	34 Immune	#825f45
35	LQ	35 LQ	#000000
