cl	cluster_id	cluster_label	cluster_color	cluster_pal
128	1	0001 CLA-EPd-CTX Car3 Glut_1	#00664E	#6be01d
129	2	0002 CLA-EPd-CTX Car3 Glut_1	#5C79CC	#f46d6b
130	3	0003 CLA-EPd-CTX Car3 Glut_1	#86FF4D	#7340b2
143	4	0004 CLA-EPd-CTX Car3 Glut_1	#CC563D	#a010cc
131	5	0005 CLA-EPd-CTX Car3 Glut_2	#E7FF26	#db04c2
116	6	0006 IT EP-CLA Glut_1	#66512E	#17979e
120	7	0007 IT EP-CLA Glut_1	#26FF46	#e05033
121	8	0008 IT EP-CLA Glut_1	#73D7FF	#1dad3a
122	9	0009 IT EP-CLA Glut_1	#995C94	#0f5e8e
125	10	0010 IT EP-CLA Glut_1	#230099	#2b1172
126	11	0011 IT EP-CLA Glut_1	#8F5CCC	#9429db
127	12	0012 IT EP-CLA Glut_1	#459199	#531299
117	13	0013 IT EP-CLA Glut_2	#526600	#0c7f2f
118	14	0014 IT EP-CLA Glut_2	#994549	#16bf65
119	15	0015 IT EP-CLA Glut_2	#2E9799	#a5264a
148	16	0016 IT EP-CLA Glut_2	#5C996F	#2ffc3a
149	17	0017 IT EP-CLA Glut_2	#006FCC	#e08860
159	18	0018 IT EP-CLA Glut_3	#661F28	#c14757
160	19	0019 IT EP-CLA Glut_3	#663D4D	#c41782
162	20	0020 IT EP-CLA Glut_3	#CC3D66	#4ffff0
123	21	0021 IT EP-CLA Glut_4	#C273FF	#4f63e2
124	22	0022 IT EP-CLA Glut_4	#411799	#2cb26d
97	23	0023 L5/6 IT TPE-ENT Glut_1	#DE00FF	#2d42b7
115	24	0024 L5/6 IT TPE-ENT Glut_1	#26A1FF	#f0f40c
165	25	0025 L5/6 IT TPE-ENT Glut_1	#C5CC5C	#b9ea31
111	26	0026 L5/6 IT TPE-ENT Glut_2	#009975	#5bd861
147	27	0027 L5/6 IT TPE-ENT Glut_2	#351F66	#d335ff
158	28	0028 L5/6 IT TPE-ENT Glut_2	#6E00CC	#316c91
114	29	0029 L5/6 IT TPE-ENT Glut_3	#0025FF	#79d651
145	30	0030 L5/6 IT TPE-ENT Glut_4	#60992E	#a5224c
146	31	0031 L5/6 IT TPE-ENT Glut_5	#663D42	#b77f24
155	32	0032 L5/6 IT TPE-ENT Glut_6	#009799	#bf4107
101	33	0033 L6 IT CTX Glut_1	#74CC00	#e84135
103	34	0034 L6 IT CTX Glut_1	#231F66	#a4e251
104	35	0035 L6 IT CTX Glut_1	#992E85	#2f7f91
113	36	0036 L6 IT CTX Glut_1	#790099	#092b7a
138	37	0037 L6 IT CTX Glut_1	#00CC1A	#0a0ca8
105	38	0038 L6 IT CTX Glut_2	#289917	#f71d24
108	39	0039 L6 IT CTX Glut_2	#99EFFF	#e810a7
139	40	0040 L6 IT CTX Glut_2	#661D0F	#e55ee5
140	41	0041 L6 IT CTX Glut_2	#CC5CAE	#15c421
141	42	0042 L6 IT CTX Glut_2	#661F47	#38e0c1
142	43	0043 L6 IT CTX Glut_2	#664C3D	#bb06cc
106	44	0044 L6 IT CTX Glut_3	#CC695C	#e05141
107	45	0045 L6 IT CTX Glut_3	#753DCC	#4cff52
132	46	0046 L6 IT CTX Glut_3	#2E998A	#fce762
133	47	0047 L6 IT CTX Glut_3	#B199FF	#07c6aa
134	48	0048 L6 IT CTX Glut_3	#998F5C	#ce109b
112	49	0049 L6 IT CTX Glut_4	#FF26FD	#65fc4e
135	50	0050 L6 IT CTX Glut_4	#991782	#c61f13
136	51	0051 L6 IT CTX Glut_4	#995C84	#5867f4
137	52	0052 L6 IT CTX Glut_4	#26FFEC	#f2ad5e
109	53	0053 L6 IT CTX Glut_5	#CC3DBC	#29f2c6
110	54	0054 L6 IT CTX Glut_5	#5A9917	#71c138
98	55	0055 L5 IT CTX Glut_1	#2CFF00	#ed34c8
99	56	0056 L5 IT CTX Glut_1	#FF4D6C	#4cb3bf
100	57	0057 L5 IT CTX Glut_1	#246600	#940ad8
191	58	0058 L5 IT CTX Glut_2	#7FCC5C	#f226e1
203	59	0059 L5 IT CTX Glut_2	#FF002F	#2c05c6
202	60	0060 L5 IT CTX Glut_2	#A400FF	#6cb22e
192	61	0061 L5 IT CTX Glut_3	#38660F	#5ec2e0
193	62	0062 L5 IT CTX Glut_3	#FF3500	#5a8add
204	63	0063 L5 IT CTX Glut_4	#990036	#02a6ff
169	64	0064 L5 IT CTX Glut_4	#99FFC3	#723ab2
102	65	0065 L5 IT CTX Glut_5	#471799	#f94de0
164	66	0066 L4/5 IT CTX Glut_1	#0086FF	#410470
166	67	0067 L4/5 IT CTX Glut_1	#FF9E73	#d33d51
168	68	0068 L4/5 IT CTX Glut_1	#452E66	#3364ce
174	69	0069 L4/5 IT CTX Glut_1	#997145	#5aad22
175	70	0070 L4/5 IT CTX Glut_1	#4A662E	#d32390
176	71	0071 L4/5 IT CTX Glut_1	#0025CC	#aa4df2
182	72	0072 L4/5 IT CTX Glut_1	#955CCC	#29c493
190	73	0073 L4/5 IT CTX Glut_1	#660026	#974ac4
198	74	0074 L4/5 IT CTX Glut_1	#581F66	#d33b6b
178	75	0075 L4/5 IT CTX Glut_2	#A500CC	#db8c39
179	76	0076 L4/5 IT CTX Glut_2	#45997F	#d37045
180	77	0077 L4/5 IT CTX Glut_2	#996F45	#1b2db5
177	78	0078 L4/5 IT CTX Glut_2	#2E998F	#0d4a68
184	79	0079 L4/5 IT CTX Glut_2	#FF774D	#045a72
186	80	0080 L4/5 IT CTX Glut_2	#CCC73D	#ff9f63
187	81	0081 L4/5 IT CTX Glut_2	#006641	#a4bf39
205	82	0082 L4/5 IT CTX Glut_2	#990047	#d88554
152	83	0083 L4/5 IT CTX Glut_3	#997B00	#3cfce9
163	84	0084 L4/5 IT CTX Glut_3	#99FFE8	#027007
167	85	0085 L4/5 IT CTX Glut_3	#995C97	#63ff4f
170	86	0086 L4/5 IT CTX Glut_3	#1F663B	#c6a843
172	87	0087 L4/5 IT CTX Glut_3	#FF73C7	#98db13
173	88	0088 L4/5 IT CTX Glut_3	#99456B	#aa4025
153	89	0089 L4/5 IT CTX Glut_4	#772E99	#c16a19
154	90	0090 L4/5 IT CTX Glut_4	#99FFCA	#99FFCA
181	91	0091 L4/5 IT CTX Glut_4	#1FBBCC	#9000d3
197	92	0092 L4/5 IT CTX Glut_4	#543D66	#0e399e
199	93	0093 L4/5 IT CTX Glut_4	#2E3066	#990047
194	94	0094 L4/5 IT CTX Glut_4	#901FCC	#d8ea62
171	95	0095 L4/5 IT CTX Glut_5	#47CC00	#FF73C7
185	96	0096 L4/5 IT CTX Glut_5	#FFDE73	#4953b2
196	97	0097 L4/5 IT CTX Glut_5	#1C0099	#027a46
195	98	0098 L4/5 IT CTX Glut_5	#661B0F	#FFDE73
201	99	0099 L4/5 IT CTX Glut_6	#2E6299	#10e5d7
188	100	0100 L4/5 IT CTX Glut_6	#99E4FF	#87c442
189	101	0101 L4/5 IT CTX Glut_6	#412E66	#e0b92c
200	102	0102 L4/5 IT CTX Glut_6	#007199	#34c14b
237	103	0103 L2/3 IT CTX Glut_1	#460066	#dd1346
239	104	0104 L2/3 IT CTX Glut_1	#660F46	#e540c7
240	105	0105 L2/3 IT CTX Glut_1	#3D4C66	#3D4C66
241	106	0106 L2/3 IT CTX Glut_1	#937ACC	#937ACC
242	107	0107 L2/3 IT CTX Glut_1	#3D6566	#e82959
150	108	0108 L2/3 IT CTX Glut_2	#413D66	#e572ff
232	109	0109 L2/3 IT CTX Glut_2	#AA7ACC	#ff70a2
233	110	0110 L2/3 IT CTX Glut_2	#FFEC99	#991E00
234	111	0111 L2/3 IT CTX Glut_2	#00FFF4	#27a4e8
236	112	0112 L2/3 IT CTX Glut_2	#991E00	#4ab503
243	113	0113 L2/3 IT CTX Glut_3	#4DBDFF	#efec39
228	114	0114 L2/3 IT CTX Glut_3	#1F6624	#14d7ff
229	115	0115 L2/3 IT CTX Glut_3	#7ACCB8	#4e037a
230	116	0116 L2/3 IT CTX Glut_3	#43992E	#55d18f
231	117	0117 L2/3 IT CTX Glut_4	#1F6646	#1F6646
235	118	0118 L2/3 IT CTX Glut_4	#665C0F	#dd3989
244	119	0119 L2/3 IT CTX Glut_4	#1F6623	#30ba34
238	120	0120 L2/3 IT CTX Glut_4	#3C662E	#137ca5
207	121	0121 L2/3 IT ENT Glut_1	#006266	#006266
208	122	0122 L2/3 IT ENT Glut_1	#4DF9FF	#4DF9FF
210	123	0123 L2/3 IT ENT Glut_1	#1FCC41	#b5db1c
209	124	0124 L2/3 IT ENT Glut_2	#2E4B66	#2056ea
211	125	0125 L2/3 IT ENT Glut_2	#CC9D3D	#b3ef4c
212	126	0126 L2/3 IT ENT Glut_2	#7ACC97	#d81e59
214	127	0127 L2/3 IT ENT Glut_3	#5C9CCC	#6294ea
215	128	0128 L2/3 IT ENT Glut_3	#95995C	#95995C
219	129	0129 L2/3 IT ENT Glut_3	#3D63CC	#28b76b
251	130	0130 L2/3 IT ENT Glut_4	#6C5CCC	#5fef94
252	131	0131 L2/3 IT ENT Glut_4	#A14DFF	#A14DFF
255	132	0132 L2/3 IT ENT Glut_4	#662E5E	#662E5E
250	133	0133 L2/3 IT ENT Glut_5	#825C99	#46d33f
253	134	0134 L2/3 IT ENT Glut_5	#3D6DCC	#206182
254	135	0135 L2/3 IT ENT Glut_5	#665D2E	#0159aa
213	136	0136 L2/3 IT ENT Glut_6	#661F20	#5dd3c9
216	137	0137 L2/3 IT ENT Glut_6	#FFEC4D	#FFEC4D
218	138	0138 L2/3 IT PIR-ENTl Glut_1	#CC3D5C	#d1217f
220	139	0139 L2/3 IT PIR-ENTl Glut_1	#171999	#49d8b0
224	140	0140 L2/3 IT PIR-ENTl Glut_1	#0014FF	#47d9ed
225	141	0141 L2/3 IT PIR-ENTl Glut_1	#662B0F	#e5b459
226	142	0142 L2/3 IT PIR-ENTl Glut_1	#7F4599	#e253b8
227	143	0143 L2/3 IT PIR-ENTl Glut_1	#4B9945	#0d9681
271	144	0144 L2/3 IT PIR-ENTl Glut_2	#1F6663	#545fc4
272	145	0145 L2/3 IT PIR-ENTl Glut_2	#662E4A	#e25d1f
273	146	0146 L2/3 IT PIR-ENTl Glut_2	#99FFE5	#1d086b
274	147	0147 L2/3 IT PIR-ENTl Glut_2	#267AFF	#d30820
275	148	0148 L2/3 IT PIR-ENTl Glut_2	#CC7ABB	#120be0
222	149	0149 L2/3 IT PIR-ENTl Glut_3	#2F1799	#db8625
265	150	0150 L2/3 IT PIR-ENTl Glut_3	#663F2E	#9a6aed
266	151	0151 L2/3 IT PIR-ENTl Glut_3	#2E3C66	#2E3C66
267	152	0152 L2/3 IT PIR-ENTl Glut_3	#5CB1CC	#3755fc
292	153	0153 L2/3 IT PIR-ENTl Glut_3	#5E662E	#31c6b7
293	154	0154 L2/3 IT PIR-ENTl Glut_3	#A2FF26	#78bf35
260	155	0155 L2/3 IT PIR-ENTl Glut_4	#FFA099	#1df9f2
261	156	0156 L2/3 IT PIR-ENTl Glut_4	#46661F	#960a13
262	157	0157 L2/3 IT PIR-ENTl Glut_4	#454D99	#6d1da3
263	158	0158 L2/3 IT PIR-ENTl Glut_4	#2E6B99	#8ef75d
264	159	0159 L2/3 IT PIR-ENTl Glut_4	#3F660F	#3F660F
268	160	0160 L2/3 IT PIR-ENTl Glut_4	#2698FF	#272a96
144	161	0161 L2/3 IT PIR-ENTl Glut_5	#88CC7A	#88CC7A
217	162	0162 L2/3 IT PIR-ENTl Glut_6	#701799	#a852ea
221	163	0163 L2/3 IT PIR-ENTl Glut_6	#2C660F	#c98848
276	164	0164 L2/3 IT PIR-ENTl Glut_7	#CC1FB6	#d83863
270	165	0165 L2/3 IT PIR-ENTl Glut_7	#1C9900	#2fd868
156	166	0166 IT AON-TT-DP Glut_1	#00CCC4	#7350c4
408	167	0167 IT AON-TT-DP Glut_1	#7F2E99	#e8734c
269	168	0168 IT AON-TT-DP Glut_1	#00CC9B	#af5033
289	169	0169 IT AON-TT-DP Glut_1	#FF73E6	#1af2ca
288	170	0170 IT AON-TT-DP Glut_1	#4DFF8C	#6e159b
279	171	0171 IT AON-TT-DP Glut_2	#0F3766	#ff35f4
283	172	0172 IT AON-TT-DP Glut_2	#3D665F	#CC000E
284	173	0173 IT AON-TT-DP Glut_2	#998617	#bced68
290	174	0174 IT AON-TT-DP Glut_2	#CC000E	#d69d3b
294	175	0175 IT AON-TT-DP Glut_3	#5CCC8F	#5670bf
295	176	0176 IT AON-TT-DP Glut_3	#306600	#0b0d68
296	177	0177 IT AON-TT-DP Glut_3	#004599	#56e2aa
977	178	0178 IT AON-TT-DP Glut_3	#2E8199	#B5CC00
282	179	0179 IT AON-TT-DP Glut_4	#BECC5C	#ab34ef
285	180	0180 IT AON-TT-DP Glut_4	#660F3F	#1aa397
286	181	0181 IT AON-TT-DP Glut_4	#662E32	#1F662B
291	182	0182 IT AON-TT-DP Glut_5	#B5CC00	#22a53c
280	183	0183 IT AON-TT-DP Glut_5	#735C99	#e2cd3f
281	184	0184 IT AON-TT-DP Glut_5	#3D4566	#e96bef
287	185	0185 IT AON-TT-DP Glut_5	#EBFF26	#EBFF26
246	186	0186 L2 IT ENT-po Glut_1	#1F662B	#4bf28d
248	187	0187 L2 IT ENT-po Glut_1	#2E4066	#3951ba
245	188	0188 L2 IT ENT-po Glut_2	#66321F	#1e00b5
249	189	0189 L2 IT ENT-po Glut_2	#4D95FF	#1cdd50
206	190	0190 L2 IT ENT-po Glut_3	#26EAFF	#f2159d
247	191	0191 L2 IT ENT-po Glut_4	#FF2635	#4e53ba
454	192	0192 MEA Slc17a7 Glut_1	#99745C	#29b588
455	193	0193 MEA Slc17a7 Glut_1	#00F9FF	#81e05c
456	194	0194 MEA Slc17a7 Glut_1	#390F66	#161693
457	195	0195 MEA Slc17a7 Glut_1	#65FF4D	#390F66
458	196	0196 MEA Slc17a7 Glut_1	#8ECC7A	#3dc41f
459	197	0197 MEA Slc17a7 Glut_1	#BE7ACC	#2185c4
462	198	0198 MEA Slc17a7 Glut_1	#995C93	#ef26d4
464	199	0199 MEA Slc17a7 Glut_1	#4EFF00	#ed981a
466	200	0200 MEA Slc17a7 Glut_1	#1F4C66	#e2535d
480	201	0201 MEA Slc17a7 Glut_2	#004066	#95f963
486	202	0202 MEA Slc17a7 Glut_2	#8E00CC	#357bea
1128	203	0203 MEA Slc17a7 Glut_2	#5CCC80	#73FFC2
484	204	0204 MEA Slc17a7 Glut_2	#73FF8C	#BE7ACC
485	205	0205 MEA Slc17a7 Glut_2	#73FFC2	#f95475
2548	206	0206 MEA Slc17a7 Glut_2	#799945	#00996A
2561	207	0207 MEA Slc17a7 Glut_2	#00996A	#5e229e
259	208	0208 MEA Slc17a7 Glut_2	#F7FF73	#d1bd0e
488	209	0209 MEA Slc17a7 Glut_2	#BD5CCC	#FFC799
161	210	0210 MEA Slc17a7 Glut_2	#FFC799	#32d186
483	211	0211 MEA Slc17a7 Glut_2	#26FF69	#c40ef2
487	212	0212 MEA Slc17a7 Glut_2	#040099	#F7FF73
461	213	0213 MEA Slc17a7 Glut_3	#661500	#2b96d8
463	214	0214 MEA Slc17a7 Glut_3	#5200CC	#4667b5
256	215	0215 COAp Grxcr2 Glut_1	#7A73FF	#d85b08
452	216	0216 COAp Grxcr2 Glut_2	#CCA07A	#32a5ba
257	217	0217 COAp Grxcr2 Glut_2	#CC1FC6	#fc6a9a
460	218	0218 COAp Grxcr2 Glut_2	#510066	#04872f
258	219	0219 COAp Grxcr2 Glut_2	#FF99D6	#113d72
451	220	0220 COAp Grxcr2 Glut_2	#00FF5E	#cc0860
438	221	0221 LA-BLA-BMA-PA Glut_1	#994F45	#f26371
439	222	0222 LA-BLA-BMA-PA Glut_1	#99E8FF	#231e89
440	223	0223 LA-BLA-BMA-PA Glut_1	#00661C	#B0CC1F
441	224	0224 LA-BLA-BMA-PA Glut_1	#B6CC5C	#795cce
446	225	0225 LA-BLA-BMA-PA Glut_1	#CC7AAC	#154275
447	226	0226 LA-BLA-BMA-PA Glut_1	#663D63	#a1f76c
448	227	0227 LA-BLA-BMA-PA Glut_1	#5C995E	#ff5bcb
453	228	0228 LA-BLA-BMA-PA Glut_1	#992817	#99175C
442	229	0229 LA-BLA-BMA-PA Glut_1	#B0CC1F	#CC5CC7
437	230	0230 LA-BLA-BMA-PA Glut_2	#99175C	#f9a970
443	231	0231 LA-BLA-BMA-PA Glut_2	#CC5CC7	#4be565
444	232	0232 LA-BLA-BMA-PA Glut_2	#FF0012	#d8db48
445	233	0233 LA-BLA-BMA-PA Glut_2	#4400CC	#2703a0
449	234	0234 LA-BLA-BMA-PA Glut_2	#661F55	#f99c5e
450	235	0235 LA-BLA-BMA-PA Glut_2	#66611F	#88e045
471	236	0236 LA-BLA-BMA-PA Glut_3	#663200	#1b72ba
474	237	0237 LA-BLA-BMA-PA Glut_3	#5F662E	#d64406
475	238	0238 LA-BLA-BMA-PA Glut_3	#CC7AC4	#854ace
481	239	0239 LA-BLA-BMA-PA Glut_3	#990010	#ce9c12
482	240	0240 LA-BLA-BMA-PA Glut_3	#7AC8CC	#7ad84b
472	241	0241 LA-BLA-BMA-PA Glut_4	#4F992E	#2302fc
473	242	0242 LA-BLA-BMA-PA Glut_4	#420099	#be2de2
465	243	0243 LA-BLA-BMA-PA Glut_4	#00CCAD	#17a315
478	244	0244 LA-BLA-BMA-PA Glut_4	#6B995C	#6B995C
467	245	0245 LA-BLA-BMA-PA Glut_5	#66602E	#3F3D66
476	246	0246 LA-BLA-BMA-PA Glut_5	#179920	#67d35d
477	247	0247 LA-BLA-BMA-PA Glut_5	#3F3D66	#065a6b
479	248	0248 LA-BLA-BMA-PA Glut_5	#85CC7A	#26d68a
468	249	0249 LA-BLA-BMA-PA Glut_6	#994317	#531c87
469	250	0250 LA-BLA-BMA-PA Glut_6	#662E60	#994317
470	251	0251 LA-BLA-BMA-PA Glut_6	#8000CC	#d81806
324	252	0252 ENTmv-PA-COAp Glut_1	#CC001B	#c368e8
366	253	0253 ENTmv-PA-COAp Glut_1	#66572E	#57239b
347	254	0254 ENTmv-PA-COAp Glut_1	#BAFF4D	#4c6ee8
325	255	0255 ENTmv-PA-COAp Glut_1	#00CCBB	#71ad01
308	256	0256 ENTmv-PA-COAp Glut_2	#7ACC7B	#7ACC7B
322	257	0257 ENTmv-PA-COAp Glut_2	#9ACC3D	#14ba75
323	258	0258 ENTmv-PA-COAp Glut_2	#990200	#990200
321	259	0259 ENTmv-PA-COAp Glut_3	#5CB8CC	#54c6e5
320	260	0260 ENTmv-PA-COAp Glut_3	#EF99FF	#01ad3d
327	261	0261 CA1-ProS Glut_1	#FF26F8	#fc3cec
328	262	0262 CA1-ProS Glut_1	#FF0096	#66532E
329	263	0263 CA1-ProS Glut_1	#009983	#FF0096
330	264	0264 CA1-ProS Glut_1	#43CC3D	#4d8e0f
331	265	0265 CA1-ProS Glut_1	#923DCC	#c68411
342	266	0266 CA1-ProS Glut_1	#FF00B3	#34c9d3
344	267	0267 CA1-ProS Glut_1	#66532E	#1b5ffc
356	268	0268 CA1-ProS Glut_1	#662D0F	#35318e
358	269	0269 CA1-ProS Glut_1	#744599	#dd637a
359	270	0270 CA1-ProS Glut_1	#00CC28	#e04211
346	271	0271 CA1-ProS Glut_2	#B85CCC	#006ca3
348	272	0272 CA1-ProS Glut_2	#99462E	#6ffc99
352	273	0273 CA1-ProS Glut_2	#00665A	#49bafc
353	274	0274 CA1-ProS Glut_2	#73FFEE	#d1387f
361	275	0275 CA1-ProS Glut_2	#3D4766	#f75e22
367	276	0276 CA1-ProS Glut_2	#82992E	#04b7db
370	277	0277 CA1-ProS Glut_2	#99742E	#ffff38
332	278	0278 CA1-ProS Glut_3	#1FCC49	#b53044
345	279	0279 CA1-ProS Glut_3	#998B5C	#ef6291
349	280	0280 CA1-ProS Glut_3	#26A6FF	#0b40bc
364	281	0281 CA1-ProS Glut_3	#00FFBA	#33e890
368	282	0282 CA1-ProS Glut_3	#995C74	#d66f20
369	283	0283 CA1-ProS Glut_3	#737CFF	#43aa20
